Title,BHK,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Balcony,Page Number
"4 BHK Flat  for Rent in Hitech City, Hyderabad",4.0,Hitech City,1.0,Furnished,5,Family,Immediately,3300,carpet-area,9,14,East,2,2
"3 BHK Flat  for Rent in Banjara Hills, NH 9, Hyderabad",3.0,"Banjara Hills, NH 9",2.0,Semi-Furnished,3,Bachelors,Immediately,3500,super-area,Ground,5,East,2,2
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,75000.0,Furnished,3,Family,Immediately,2000,super-area,5,17,East,1,2
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",74000.0,Semi-Furnished,3,Family,Immediately,1796,super-area,11,35,East,2,2
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,64000.0,Semi-Furnished,2,Bachelors,Immediately,1620,super-area,13,24,West,2,2
"3 BHK Flat  for Rent in Shaikpet, Hyderabad",3.0,Shaikpet,2.0,Semi-Furnished,3,Bachelors,Immediately,2876,super-area,20,32,East,3,3
"4 BHK Flat  for Rent in Hitech City, Hyderabad",4.0,Hitech City,1.0,Semi-Furnished,4,Bachelors/Family,Immediately,4761,super-area,5,20,East,3,3
3 BHK Flat  for Rent in  Hyderabad,3.0,Hyderabad,1.0,Semi-Furnished,4,Bachelors,Immediately,2400,super-area,2,5,East,2,3
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,66000.0,Semi-Furnished,4,Family,Immediately,2406,carpet-area,8,14,West,1,3
"Studio Apartment  for Rent in Kondapur, Hyderabad",,Kondapur,1500.0,Furnished,1,Bachelors/Family,Immediately,365,super-area,2,5,East,1,3
"4 BHK Flat  for Rent in Forest Dept Colony, Kondapur, Hyderabad",4.0,"Forest Dept Colony, Kondapur",1.0,Semi-Furnished,4,Family,Immediately,3000,carpet-area,9,25,East,2,3
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",75000.0,Semi-Furnished,3,Family,Immediately,1335,carpet-area,21,34,East,1,4
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",,Semi-Furnished,3,,Const. Age New Construction,1361,carpet-area,31,34,East,2,4
"4 BHK Flat  for Rent in Gachibowli, Hyderabad",4.0,Gachibowli,2.0,Furnished,5,Family,Immediately,4600,super-area,6,24,East,3,4
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,49000.0,Semi-Furnished,3,Bachelors/Family,Immediately,980,carpet-area,10,17,West,2,4
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",3.0,"Tellapur, Outer Ring Road",55000.0,Unfurnished,3,Bachelors,Immediately,1926,super-area,18,39,East,1,4
"3 BHK Flat  for Rent in Gowlidoddy, Hyderabad",3.0,Gowlidoddy,85000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1530,carpet-area,22,29,East,2,4
"3 BHK Flat  for Rent in Kokapet, Outer Ring Road, Hyderabad",3.0,"Kokapet, Outer Ring Road",78000.0,Semi-Furnished,3,Bachelors,From Mar '26,2124,super-area,26,35,West,2,4
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,50000.0,Semi-Furnished,2,Bachelors/Family,Immediately,865,carpet-area,24,24,West,2,4
"4 BHK Flat  for Rent in Manikonda Jagir, Hyderabad",4.0,Manikonda Jagir,1.0,Furnished,5,Family,Immediately,4200,carpet-area,18,28,East,1,4
"2 BHK Flat  for Rent in Narsingi, Outer Ring Road, Hyderabad",2.0,"Narsingi, Outer Ring Road",55000.0,Semi-Furnished,2,Bachelors/Family,Immediately,949,carpet-area,21,31,West,1,5
"2 BHK Flat  for Rent in Nalagandla, Hyderabad",2.0,Nalagandla,45000.0,Semi-Furnished,2,Family,Immediately,1275,super-area,23,24,East,1,5
"3 BHK Flat  for Rent in Tellapur, Outer Ring Road, Hyderabad",3.0,"Tellapur, Outer Ring Road",55000.0,Semi-Furnished,3,Bachelors/Family,Immediately,1500,carpet-area,20,39,East,1,5
"3 BHK Flat  for Rent in Kondapur, Hyderabad",3.0,Kondapur,34999.0,Furnished,3,Bachelors,Immediately,1800,carpet-area,4,5,North - East,3,5
"3 BHK Flat  for Rent in Gachibowli, Hyderabad",3.0,Gachibowli,66000.0,Unfurnished,3,Bachelors,Immediately,1742,super-area,28,34,West,1,5
"1 BHK Flat  for Rent in Kondapur, Hyderabad",1.0,Kondapur,14000.0,Furnished,1,Bachelors,Immediately,700,carpet-area,4,5,North - East,1,5
"2 BHK Flat  for Rent in Kondapur, Hyderabad",2.0,Kondapur,,Semi-Furnished,2,Bachelors,Immediately,1200,carpet-area,3,4,North - East,2,6
