Bedrooms,Location,Price,Furnishing,Bathrooms,Tenant Preferred,Availability,Area (sqft),Area Type,Floor Number,Total Floors,Facing,Page Number
2.0,Chanda Nagar,72000,Semi-Furnished,2.0,Bachelors/Family,From Mar '26,1116.0,super-area,2.0,3.0,,1
2.0,"Hanumasai Nagar, Uppal",72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,900.0,super-area,2.0,4.0,,1
3.0,Kondapur,72000,Furnished,2.0,Bachelors,From Apr '26,1414.0,carpet-area,4.0,5.0,East,1
3.0,"Pocharam, NH 2 2",72000,Furnished,3.0,Bachelors/Family,Immediately,1500.0,super-area,3.0,4.0,,1
4.0,"Tellapur, Outer Ring Road",72000,Semi-Furnished,4.0,Bachelors,From May '26,2640.0,super-area,6.0,15.0,West,1
2.0,HMT Colony Miyapur,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,5.0,5.0,,1
2.0,Manikonda Jagir,72000,Semi-Furnished,2.0,Bachelors,Immediately,950.0,carpet-area,1.0,5.0,,1
3.0,"Financial District, Nanakram Guda",72000,Semi-Furnished,3.0,Bachelors,From May '26,850.0,carpet-area,3.0,5.0,West,1
2.0,Nagaram,72000,Unfurnished,2.0,Bachelors,Immediately,1000.0,carpet-area,0.0,4.0,East,1
2.0,Begumpet,72000,Semi-Furnished,2.0,Bachelors/Family,From Mar '26,1175.0,super-area,1.0,3.0,,1
3.0,Aurora Colony,72000,Semi-Furnished,3.0,Family,Immediately,2250.0,carpet-area,2.0,5.0,North,1
2.0,TNGOs Colony Phase 2,72000,Semi-Furnished,2.0,Bachelors/Family,From Apr '26,900.0,super-area,3.0,5.0,East,1
2.0,Bachupally,72000,Unfurnished,2.0,Bachelors/Family,Immediately,1150.0,carpet-area,3.0,5.0,,1
3.0,Addagutta,72000,Semi-Furnished,3.0,Bachelors/Family,Immediately,1650.0,super-area,5.0,5.0,North - East,1
2.0,Raja Rajeshwara Nagar,72000,Semi-Furnished,2.0,Bachelors/Family,From Mar '26,1260.0,super-area,1.0,5.0,,1
2.0,"Tellapur, Outer Ring Road",72000,Semi-Furnished,2.0,Bachelors,Immediately,1355.0,super-area,34.0,40.0,East,1
1.0,"Kukatpally, NH 9",72000,Unfurnished,1.0,Bachelors/Family,From Apr '26,400.0,carpet-area,3.0,3.0,East,1
2.0,Hitech City,72000,Furnished,2.0,Bachelors,Immediately,1200.0,super-area,8.0,10.0,East,1
3.0,Appa Junction Area,72000,Furnished,3.0,Bachelors,From May '26,1328.0,carpet-area,11.0,19.0,West,1
2.0,Gachibowli,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1275.0,super-area,12.0,17.0,East,1
2.0,Bachupally,72000,Furnished,2.0,Bachelors,Immediately,1110.0,super-area,20.0,33.0,West,1
2.0,Vishnupuri Extension,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1400.0,super-area,2.0,2.0,,1
2.0,Manikonda Jagir,72000,Unfurnished,2.0,Bachelors/Family,From Apr '26,1100.0,carpet-area,1.0,1.0,,1
2.0,Kondapur,72000,Semi-Furnished,2.0,Bachelors,From Apr '26,1047.0,carpet-area,3.0,5.0,West,1
1.0,Ameenpur,72000,Unfurnished,1.0,Bachelors/Family,Immediately,400.0,carpet-area,2.0,3.0,,1
2.0,Hyderabad,72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1400.0,super-area,1.0,3.0,,1
2.0,Gachibowli,72000,Furnished,2.0,Bachelors/Family,From Mar '26,1245.0,super-area,29.0,33.0,,1
2.0,"Sun City, Bandlaguda, Chevella Road",72000,Furnished,2.0,Bachelors/Family,From Apr '26,1050.0,carpet-area,5.0,5.0,,1
2.0,Mehdipatnam,72000,Semi-Furnished,2.0,Bachelors/Family,From Mar '26,980.0,carpet-area,3.0,3.0,,1
1.0,Qutubullapur,72000,Semi-Furnished,1.0,Bachelors/Family,From Mar '26,550.0,carpet-area,3.0,3.0,,1
3.0,Hyderabad,72000,Semi-Furnished,3.0,Family,Immediately,1700.0,carpet-area,1.0,3.0,North,2
1.0,Hyderabad,72000,Unfurnished,1.0,Bachelors/Family,Immediately,60.0,super-area,1.0,2.0,,2
2.0,"Yousufguda, NH 9",72000,Semi-Furnished,2.0,Bachelors/Family,Immediately,1200.0,carpet-area,3.0,4.0,,2
3.0,"Alkapur Township, Manikonda, Outer Ring Road",72000,Furnished,3.0,Bachelors/Family,Immediately,2350.0,carpet-area,1.0,2.0,East,2
2.0,Nalagandla,72000,Unfurnished,2.0,Bachelors,Immediately,1350.0,carpet-area,10.0,30.0,East,2
